Word number;		Data 
 1134;			0x82198972
 1135;			0xea422b19
 1136;			0xd7e5cf23
 1137;			0x423b1d32
 1138;			0x30f5bd59
 1139;			0x8c3dd2d
 1140;			0x38b0ff77
 1141;			0x10fa3f3a
 1142;			0x8965571f
 1143;			0x3da53765
 1144;			0xdb008141
 1145;			0xfd5db553
 1146;			0xfe9f0f7d
 1147;			0x727d6320
 1148;			0x36555d43
 1149;			0xc510b352
 1150;			0x1fc4573f
 1151;			0x4ade3351
 1152;			0x8a3852e
 1153;			0xa68a7749
 1154;			0x65f26930
 1155;			0x7e47e91e
 1156;			0xe59ad137
 1157;			0x19047945
 1158;			0x82a24358
 1159;			0xb1f0a762
 1160;			0xb2d2bd43
 1161;			0xba32ed5c
 1162;			0xfa5bbb34
 1163;			0x6acea752
 1164;			0x90ec095c
 1165;			0xf1960b27
 1166;			0xbb199771
 1167;			0x3c7f6541
 1168;			0x233b592a
 1169;			0xa985175
 1170;			0x4b58df0c
 1171;			0x2f452d
 1172;			0x3f699d4d
 1173;			0xe007b13b
 1174;			0x738f0f64
 1175;			0x552b8374
 1176;			0xb8d21918
 1177;			0x824dc349
 1178;			0x8687235b
 1179;			0x1de3b519
 1180;			0x95ff850d
 1181;			0xb463520
 1182;			0xda232d07
 1183;			0x37bde557
 1184;			0x7e75cd4d
 1185;			0x1543414f
 1186;			0x6a2bc937
 1187;			0x21f6b920
 1188;			0x4cc8974
 1189;			0x6258175c
 1190;			0x822a2349
 1191;			0x7fe5a778
 1192;			0xd8f06d13
 1193;			0x8c172356
 1194;			0x2b4fdd62
 1195;			0x4f89553a
 1196;			0xab4d475e
 1197;			0x3a59476a
 1198;			0x2b6a8571
 1199;			0x68a8a13b
 1200;			0xe8adf13d
 1201;			0x32fda33b
 1202;			0x325aa33b
 1203;			0xcace816b
 1204;			0x62a3713b
 1205;			0x87667f04
 1206;			0x27638750
 1207;			0x15e0437a
 1208;			0xfa68c110
 1209;			0xe7ce9121
 1210;			0x108de735
 1211;			0x110b237a
 1212;			0x6152713f
 1213;			0xd3976149
 1214;			0x85a34f14
 1215;			0x814c2700
 1216;			0xca129f01
 1217;			0x365bad5c
 1218;			0xb6e8a11d
 1219;			0xafe2e318
 1220;			0xdb48cd01
 1221;			0xc9545524
 1222;			0xad4ef56a
 1223;			0xdc891b60
 1224;			0xa52997e
 1225;			0x2125112a
 1226;			0x7b83a778
 1227;			0xbc32b542
 1228;			0xc8bdbb5f
 1229;			0x674f692e
 1230;			0x1fc97958
 1231;			0x7815210b
 1232;			0x9e872f3b
 1233;			0x236f8b14
 1234;			0xb819709
 1235;			0xf8c23b24
 1236;			0xb5a0c559
 1237;			0xc8cc160
 1238;			0x7dd1529
 1239;			0xca3df97c
 1240;			0x49304528
 1241;			0x2132312d
 1242;			0x451bf350
 1243;			0xc9dcd22
 1244;			0x59eb9737
 1245;			0xe73df316
 1246;			0xdeabf720
 1247;			0x9d16c36f
 1248;			0xa91a4b0a
 1249;			0x20e4b56a
 1250;			0x1019ef32
 1251;			0x88d17d3b
 1252;			0x15c92b77
 1253;			0x355cb58
 1254;			0x5dd39376
 1255;			0x54c6cb6f
 1256;			0xa9d6275e
 1257;			0xa4a017f
 1258;			0x4d42f53d
 1259;			0x344c7107
 1260;			0x7887476e
 1261;			0x70aaf550
 1262;			0xb8fdeb3a
 1263;			0x54c9cf2d
 1264;			0x8e95ff03
 1265;			0x8dfba160
 1266;			0x53e8098f
 1267;			0x706ef548
 1268;			0x639580bc
 1269;			0xdc97a3b8
 1270;			0x2e38439b
 1271;			0x5e380eaa
 1272;			0x6209d1aa
 1273;			0xddb6d999
 1274;			0xecab279b
 1275;			0xf8b8e08f
 1276;			0x137006b8
 1277;			0x7b8e784
 1278;			0xac8879bf
 1279;			0x887f9b8
 1280;			0x3d4a3bbd
 1281;			0x4fcc0689
 1282;			0x8ec54f9a
 1283;			0xc0f6eb8b
 1284;			0x97fd1fa1
 1285;			0x53996c9d
 1286;			0xcebd1b9d
 1287;			0x374b5181
 1288;			0xfc97a886
 1289;			0x7b183d9e
 1290;			0x56c5e584
 1291;			0xc963ca6
 1292;			0xa0538b89
 1293;			0xbda9afba
 1294;			0xe2d1d78f
 1295;			0xd55e26bc
 1296;			0x1d63a2a1
 1297;			0x2b89f790
 1298;			0xd2d08aa
 1299;			0x96974ae
 1300;			0xc839c282
 1301;			0xe8450db3
 1302;			0x218f069b
 1303;			0xbd87548f
 1304;			0xdf505880
 1305;			0x564b0897
 1306;			0x785e6888
 1307;			0xb0d8c09c
 1308;			0x760d2186
 1309;			0x2fee75b0
 1310;			0xd8f3abb8
 1311;			0x7537ac9e
 1312;			0x40ff6cb7
 1313;			0xfa0e288b
 1314;			0x95f5298e
 1315;			0xd4a35b0
 1316;			0x688d168a
 1317;			0x80e4fda5
 1318;			0xca42c68e
 1319;			0x3c2f6bb9
 1320;			0x35dd9fa0
 1321;			0x5b5f573a
 1322;			0x17755d0e
 1323;			0xcf59d700
 1324;			0x5448719
 1325;			0x9ee0343
 1326;			0xee61212a
 1327;			0xb30f4906
 1328;			0xd63e5736
 1329;			0xe35a8757
 1330;			0x33b7a33a
 1331;			0xe4a7174c
 1332;			0xb1f7511d
 1333;			0x64bc130a
 1334;			0x676fb139
 1335;			0xb57bef78
 1336;			0x5d33bf24
 1337;			0x3917377c
 1338;			0xa172d2d
 1339;			0x1328ed09
 1340;			0x606a2b1b
 1341;			0xa3ab5315
 1342;			0x3d8ac10d
 1343;			0xce5e0969
 1344;			0xc0461973
 1345;			0xcc93ed33
 1346;			0x64fec925
 1347;			0x3d836547
 1348;			0xecc22920
 1349;			0xf805f111
 1350;			0xc3e6b53f
 1351;			0xc05c7b54
 1352;			0xfb392329
 1353;			0xb166e107
 1354;			0xc038ef1a
 1355;			0x2eb0f56c
 1356;			0xa2d20573
 1357;			0x1c90ed12
 1358;			0x3a5be558
 1359;			0x43dba353
 1360;			0xae66973
 1361;			0xef102b1a
 1362;			0xd1db036f
 1363;			0x7ef7954b
 1364;			0x686a175b
 1365;			0x38a69f73
 1366;			0xa410df4e
 1367;			0xdca37f35
 1368;			0x9ccfab7a
 1369;			0x1b4aa94b
 1370;			0xc156470c
 1371;			0x19697b70
 1372;			0x1197cf30
 1373;			0x1af23f39
 1374;			0xd32e737a
 1375;			0x696d0f4c
 1376;			0x9de25375
 1377;			0x6dc89138
 1378;			0x856ef167
 1379;			0xb5a58f75
 1380;			0x5972795b
 1381;			0x3aae5f78
 1382;			0x39d73555
 1383;			0x53f54f29
 1384;			0xd7de0d0a
 1385;			0xdbd3f94d
 1386;			0xe132cd70
 1387;			0xe058a923
 1388;			0xfa2add58
 1389;			0x5e99ad05
 1390;			0xfee7a91b
 1391;			0xebc0a926
 1392;			0xcdddc52d
 1393;			0x724cf55d
 1394;			0x19aa4728
 1395;			0x3b2a5771
 1396;			0x21f07939
 1397;			0xdd0fd516
 1398;			0x64e39757
 1399;			0x835a3b53
 1400;			0x1e785739
 1401;			0x234c3302
 1402;			0x6ccc8d67
 1403;			0xe2fec575
 1404;			0x558f3142
 1405;			0xd5e88f26
 1406;			0xb748676e
 1407;			0x16803514
 1408;			0x9e8f2d16
 1409;			0xa8cf7d64
 1410;			0x8a6f6f01
 1411;			0x47db6b46
 1412;			0xa778ff5e
 1413;			0x933ed147
 1414;			0xe7480b09
 1415;			0x7ed416e
 1416;			0x10643d12
 1417;			0xbab7191e
 1418;			0xd91e7f26
 1419;			0xa1655315
 1420;			0x4fd76966
 1421;			0x35bc611e
 1422;			0x18017159
 1423;			0xbcb8290e
 1424;			0xc564ad2c
 1425;			0x9540c739
 1426;			0x3e15d3c
 1427;			0xd4dd5517
 1428;			0xc9659f0d
 1429;			0xcd3eb34f
 1430;			0xbc09d90b
 1431;			0x53cbc364
 1432;			0x4bb00b45
 1433;			0x87d2ab46
 1434;			0x848f2168
 1435;			0x4c828718
 1436;			0x9719fd04
 1437;			0x13efe371
 1438;			0xc936bb43
 1439;			0x5abbd959
 1440;			0x36ca210d
 1441;			0x71d8ed45
 1442;			0xcf5c416d
 1443;			0xd7c2514e
 1444;			0xc4413f03
 1445;			0xc4bbfb4a
 1446;			0xf5d2391b
 1447;			0x666ae12e
 1448;			0x5b82d941
 1449;			0xef1e6305
 1450;			0x9911c512
 1451;			0x6b799747
 1452;			0xa65c5d78
 1453;			0x1152f723
 1454;			0x7f4d2b30
 1455;			0xad377d62
 1456;			0x821e5178
 1457;			0x24d85b01
 1458;			0x23048128
 1459;			0x3301d776
 1460;			0x7859290a
 1461;			0x8da53536
 1462;			0xe749f93c
 1463;			0x3ad197a
 1464;			0xd0d7c95e
 1465;			0x9c4ea736
 1466;			0x1a4e2513
 1467;			0x86d5d2d
 1468;			0x6f1e392a
 1469;			0xcd5fcf01
 1470;			0xd76ee514
 1471;			0x5daaa50b
 1472;			0x13a7b732
 1473;			0x6b320b04
 1474;			0x93c9b51b
 1475;			0x3a911104
 1476;			0x35e6491c
 1477;			0x98804ea9
 1478;			0x3f75b328
 1479;			0xca086796
 1480;			0x6ebbfa80
 1481;			0x5cecbfb4
 1482;			0x5b4a4d9e
 1483;			0x9a3b2d91
 1484;			0x7913319d
 1485;			0x99763fbe
 1486;			0xaba04798
 1487;			0x3f4963b9
 1488;			0x21b5e4bd
 1489;			0x7d80999d
 1490;			0x50c4b096
 1491;			0xcf9bcdb0
 1492;			0x7a31c6a9
 1493;			0xc9f045b7
 1494;			0xe79df29d
 1495;			0x50035fa5
 1496;			0xe6c2c382
 1497;			0xc81c3db1
 1498;			0x58519fb8
 1499;			0x8a319b5
 1500;			0x9bdedb5
 1501;			0x60690695
 1502;			0x89f8d396
 1503;			0xb027eabd
 1504;			0x34309895
 1505;			0xd4a34fae
 1506;			0x1209cfa9
 1507;			0x7f2c7d9d
 1508;			0xc5e30389
 1509;			0x805654bf
 1510;			0xc44a2e92
 1511;			0xedd3d9bc
 1512;			0x4f3b75b2
 1513;			0xd404618f
 1514;			0x2973f81
 1515;			0x82e48e9e
 1516;			0x1023b7a8
 1517;			0x3e4d2fb3
 1518;			0x7cc1dad
 1519;			0x8e320a88
 1520;			0xbc7c9fbb
 1521;			0x8329ee9c
 1522;			0x6559629c
 1523;			0x4b95a798
 1524;			0x2b82bb98
 1525;			0xe098b92
 1526;			0x6c6f8e
 1527;			0xc2c6a299
 1528;			0x14c58ba2
 1529;			0x223dde9a
 1530;			0x2717aa9e
 1531;			0xbe4066a2
 1532;			0x2126775d
 1533;			0x20f9d920
 1534;			0xc8cfbd36
 1535;			0xe4709f50
 1536;			0xe03ae93d
 1537;			0xfff9911b
 1538;			0xf8183d4f
 1539;			0x7cb38b2f
 1540;			0xaa26d137
 1541;			0xa1ba9938
 1542;			0xac8cc924
 1543;			0xc2cb1b5b
 1544;			0x8e22f705
 1545;			0x466be16a
 1546;			0x77e617f
 1547;			0x9e6ed376
 1548;			0x6f4cc931
 1549;			0x4d3c4977
 1550;			0xd074815c
 1551;			0x897a997f
 1552;			0x321a9f63
 1553;			0x24544307
 1554;			0x57355f26
 1555;			0x909e0950
 1556;			0xdae96d0c
 1557;			0x45cab70f
 1558;			0x90e0dd12
 1559;			0xe3fecf54
 1560;			0x2a904b01
 1561;			0xab5f2573
 1562;			0x87dab35f
 1563;			0xec87c575
 1564;			0xdd49315d
 1565;			0x5a770f39
 1566;			0xaa79e313
 1567;			0x966f2952
 1568;			0x87fbb53b
 1569;			0x21c75747
 1570;			0x1c647946
 1571;			0x33b40d46
 1572;			0x9c372739
 1573;			0xd1973362
 1574;			0xba5ffd4a
 1575;			0xf8a80339
 1576;			0xcda4eb59
 1577;			0xc4c85717
 1578;			0xd0f0f507
 1579;			0xa3ecdb12
 1580;			0x1ebc836c
 1581;			0xa2cb0b11
 1582;			0x228fb12e
 1583;			0x4e5a71d
 1584;			0xb0db655a
 1585;			0x4c4197e
 1586;			0xd7323508
 1587;			0xd66fd723
 1588;			0x59577b60
 1589;			0xa85bb308
 1590;			0x5204c50c
 1591;			0x10a9e953
 1592;			0x7465733b
 1593;			0xfdfa1b3f
 1594;			0x1a1bc72a
 1595;			0xfbc75908
 1596;			0x7b03090c
 1597;			0x8bd48165
 1598;			0x84f4817a
 1599;			0xf8c14558
 1600;			0xd0820d0f
 1601;			0x891f8714
 1602;			0x381a4543
 1603;			0xe5fb9d7e
 1604;			0xca0a3174
 1605;			0xde28f953
 1606;			0xd0457b6d
 1607;			0x8e499978
 1608;			0x5417c143
 1609;			0x7f250b30
 1610;			0x6c263318
 1611;			0xa09b593d
 1612;			0x1e8c0f2b
 1613;			0x30e1359
 1614;			0x68b2eb0b
 1615;			0x9622dd0a
 1616;			0x2ca2712b
 1617;			0x925ceb76
 1618;			0x1c8cd39
 1619;			0x463a6701
 1620;			0xc7898351
 1621;			0x71bf5333
 1622;			0x3c726f7c
 1623;			0x8b855f0b
 1624;			0xf6950322
 1625;			0x3bd2b325
 1626;			0x6bf51f4f
 1627;			0x57fdbd16
 1628;			0x92b06d06
 1629;			0x86111539
 1630;			0xb5b0af7a
 1631;			0xf3ec7119
 1632;			0x86b9e703
 1633;			0xfc00cb2e
 1634;			0x530eb516
 1635;			0xd15c2d19
 1636;			0x1faedf2a
 1637;			0xdadfbd03
 1638;			0xcba77f0d
 1639;			0xcb7eb966
 1640;			0x3cadc10a
 1641;			0x1a6bc15d
 1642;			0x6b9c4125
 1643;			0x8d2ea17d
 1644;			0x3491fb30
 1645;			0x738a8548
 1646;			0x6b1b974a
 1647;			0x18fb2373
 1648;			0xdfb4a73d
 1649;			0xdc449954
 1650;			0x4deab704
 1651;			0x9148c947
 1652;			0xb1dc0f72
 1653;			0xaf7a175f
 1654;			0x2b6d3f5a
 1655;			0x42951162
 1656;			0xd3cdb721
 1657;			0x38ff9779
 1658;			0x78e87b29
 1659;			0xadfeed75
 1660;			0x90d5d51b
 1661;			0xf3e2f76a
 1662;			0x92eed953
 1663;			0x127c636e
 1664;			0x6f48e31a
 1665;			0x666d8127
 1666;			0x73e54b31
 1667;			0x603bb319
 1668;			0x98a8694d
 1669;			0x3beb6761
 1670;			0x83d2d704
 1671;			0xd860b158
 1672;			0x92a3b954
 1673;			0x425c0b42
 1674;			0xaf8a2b1a
 1675;			0x37f5a10f
 1676;			0x73949f71
 1677;			0x97f5b95c
 1678;			0x4a15d25
 1679;			0x1472e36f
 1680;			0xd7dab736
 1681;			0xc345916d
 1682;			0x4de1d346
 1683;			0x4040d34b
 1684;			0xe1eb1f42
 1685;			0x751a0768
 1686;			0xff40991e
 1687;			0x2f409314
 1688;			0x8dc3616c
 1689;			0x3e24d549
 1690;			0x59ec7d18
 1691;			0xe446556a
 1692;			0xe9e55565
 1693;			0xc08d534b
 1694;			0xc9f501b6
 1695;			0x97107b6c
 1696;			0xf738dd44
 1697;			0xf3a5b582
 1698;			0xcc16a8a8
 1699;			0x88227a88
 1700;			0xee6bbcae
 1701;			0xecebda83
 1702;			0xf5b4a898
 1703;			0xcbf181bf
 1704;			0x7f535a1
 1705;			0xc10ca695
 1706;			0xc12ab5a2
 1707;			0x3cb227b4
 1708;			0xd9e039b
 1709;			0xaab198a0
 1710;			0x79cc208d
 1711;			0x6b76bb96
 1712;			0xea9e0b9e
 1713;			0x7f51c593
 1714;			0xb735ae
 1715;			0xe824828c
 1716;			0x90b35582
 1717;			0xc5385781
 1718;			0x4d18b1b2
 1719;			0x99b603bb
 1720;			0x26da2699
 1721;			0xbba14a1
 1722;			0xa40550b6
 1723;			0x51d44d83
 1724;			0xd8005995
 1725;			0x8d5ca1b2
 1726;			0x56d80890
 1727;			0xcadd84a1
 1728;			0x37259092
 1729;			0x600de780
 1730;			0x4f9c6db3
 1731;			0xb943eaaa
 1732;			0x8da919bf
 1733;			0xa5f96789
 1734;			0x483f1287
 1735;			0x8ec1a4a7
 1736;			0xc8dd8e88
 1737;			0x413655a3
 1738;			0x87065da4
 1739;			0x56dd78a
 1740;			0x23f48b86
 1741;			0xf1d65589
 1742;			0x3dcd73b2
 1743;			0x3f09a2a4
 1744;			0x45ad15af
 1745;			0xcc73f9b9
 1746;			0xde04cf3b
 1747;			0xdc930155
 1748;			0xe2b6ad7b
 1749;			0xa9491f57
 1750;			0xd9a7051d
 1751;			0x976d9b6b
 1752;			0x1e6b7f2b
 1753;			0x80138b4a
 1754;			0xd3b9873d
 1755;			0xa03dbf42
 1756;			0xfca43766
 1757;			0x13568366
 1758;			0x211b1b0b
 1759;			0x81d6916a
 1760;			0x1651f73e
 1761;			0x70adf90b
 1762;			0xed532d65
 1763;			0x9468d20
 1764;			0x45789523
 1765;			0x804e8b58
 1766;			0xbf7f2766
 1767;			0x2d6abf5c
 1768;			0xc9950d3a
 1769;			0x92759f23
 1770;			0xea6fa56a
 1771;			0x48e0b349
 1772;			0x8caf71b
 1773;			0x34e37f6b
 1774;			0xb7f8f559
 1775;			0xfe40715
 1776;			0x16c5614b
 1777;			0xfa0fc901
 1778;			0x6915f130
 1779;			0xe655ad7c
 1780;			0xc2297718
 1781;			0x584ced1f
 1782;			0x9a65bb62
 1783;			0xee53f92b
 1784;			0x725d932c
 1785;			0x3387e91d
 1786;			0xe0723f5b
 1787;			0xdba89b60
 1788;			0x1a1c6152
 1789;			0xfd1cf912
 1790;			0xc40197c
 1791;			0xc41a96c
 1792;			0x33749769
 1793;			0xd90b8b79
 1794;			0x28fe457b
 1795;			0xb9fdad5d
 1796;			0x8250596a
 1797;			0x7df8b77c
 1798;			0xa2cefb0f
 1799;			0x31bd7f6c
 1800;			0x61785b11
 1801;			0xfef2714
 1802;			0xf525755e
 1803;			0x3a274101
 1804;			0x40fdfb46
 1805;			0x464b217c
 1806;			0xf54b754b
 1807;			0x344cfb27
 1808;			0x97913b6d
 1809;			0xdc516721
 1810;			0x741d7323
 1811;			0x7ec73765
 1812;			0xe05e5758
 1813;			0x5028d729
 1814;			0x1a8cbb73
 1815;			0x3e48f766
 1816;			0xe47a6744
 1817;			0x869a539
 1818;			0x5961af33
 1819;			0xf270491a
 1820;			0x85fda177
 1821;			0x34e98d5f
 1822;			0x4153bd2f
 1823;			0x5975db75
 1824;			0x8d6152a
 1825;			0x49400d3f
 1826;			0xf11a2d58
 1827;			0x953d5155
 1828;			0xb5d3754d
 1829;			0xb0919104
 1830;			0x7d627119
 1831;			0x9bf20946
 1832;			0xc87cbf06
 1833;			0xacb44f58
 1834;			0xe9b51922
 1835;			0xf2292762
 1836;			0x5b17814e
 1837;			0xa0bf5f49
 1838;			0xdb4ef375
 1839;			0x6fda34f
 1840;			0xbea1f330
 1841;			0x316cc101
 1842;			0x51e0176
 1843;			0x36eb176
 1844;			0xaf138933
 1845;			0x94fc1d04
 1846;			0x60cb575d
 1847;			0x40a69b50
 1848;			0x6632f74b
 1849;			0x6f34d29
 1850;			0xcc223f1a
 1851;			0xb6f68b37
 1852;			0xad29c12c
 1853;			0xcd097707
 1854;			0xca93cd2e
 1855;			0x27ef3b1e
 1856;			0x1fe4cd04
 1857;			0x7356bf71
 1858;			0x19b1c362
 1859;			0x4c658d34
 1860;			0xbe43f914
 1861;			0x27de7132
 1862;			0xa0455b15
 1863;			0xb0773d5c
 1864;			0x755cc33f
 1865;			0xe6ad630a
 1866;			0x74a5d336
 1867;			0x813aa710
 1868;			0xdb51272b
 1869;			0x31371d56
 1870;			0x6bd8cf4d
 1871;			0x4ee49f18
 1872;			0x60fc8122
 1873;			0x998f4d05
 1874;			0x3593e333
 1875;			0xb292c774
 1876;			0x5bdcd14b
 1877;			0x66312d61
 1878;			0x4798970d
 1879;			0xdb96115f
 1880;			0x4ef12f0e
 1881;			0xa78deb08
 1882;			0xfb5eb105
 1883;			0x27b70f5d
 1884;			0x63ffeb16
 1885;			0x850deb4d
 1886;			0x701d1115
 1887;			0xa857cf53
 1888;			0xc0ad2f14
 1889;			0x37d5f02
 1890;			0x39a1d546
 1891;			0x7043f770
 1892;			0x3ab06554
 1893;			0xcfeecf13
 1894;			0xe0079925
 1895;			0xffd152b
 1896;			0x311d791b
 1897;			0x4a3a6d2e
 1898;			0x8baa0701
 1899;			0xb5b64110
 1900;			0xfd5ff54a
 1901;			0xe1b19d77
 1902;			0x6f5b7b1c
 1903;			0x3dae3116
 1904;			0xb481655e
 1905;			0x3e976d48
 1906;			0xb0cced46
 1907;			0x254b2b08
 1908;			0x89517f13
 1909;			0x1898fb63
 1910;			0x20941b14
 1911;			0xee935398
 1912;			0xb65e1f79
 1913;			0xf841076c
 1914;			0x1cae1377
 1915;			0x8881c794
 1916;			0x998072a5
 1917;			0xfb5fad9b
 1918;			0x80a0b8b0
 1919;			0x263cc4b2
 1920;			0x803af294
 1921;			0x65f0b0bf
 1922;			0x58f5288c
 1923;			0xeab68f92
 1924;			0xa2b8b0be
 1925;			0x5257c498
 1926;			0x1ebcb99a
 1927;			0xf47c03a6
 1928;			0xe633ee92
 1929;			0xc359d787
 1930;			0x13b9cc9b
 1931;			0xdad4e3bc
 1932;			0x74b24ba7
 1933;			0x8bb9e680
 1934;			0x777b718f
 1935;			0xd9745b3
 1936;			0x2acedf9e
 1937;			0x4741a9aa
 1938;			0x507a2ebf
 1939;			0x7c16988a
 1940;			0xa0b5d9a6
 1941;			0xad2c5db0
 1942;			0xe90d2393
 1943;			0xa8962285
 1944;			0xf9ccf93
 1945;			0xca2115bd
 1946;			0x18571bbc
 1947;			0x4524db8d
 1948;			0x16382ebb
 1949;			0x788ed48a
 1950;			0x41bc6385
 1951;			0xbf7e6ea4
 1952;			0x75294ab3
 1953;			0x24d1b698
 1954;			0xa7bd71ab
 1955;			0xaa4df4aa
 1956;			0xab9d99b5
 1957;			0xc83a20a2
 1958;			0xc73c338b
 1959;			0x13f326b6
 1960;			0x9c30350d
 1961;			0xdaa5237e
 1962;			0xde7f794f
 1963;			0xbb6d2779
 1964;			0x5ee4295e
 1965;			0x15bd3505
 1966;			0x1ee6c15a
 1967;			0x7bd9bd46
 1968;			0xc7f59969
 1969;			0x46f0bd2c
 1970;			0x63b3512d
 1971;			0x42b6533
 1972;			0x7d11b761
 1973;			0x5153b15e
 1974;			0x4b11f71e
 1975;			0x448fe70e
 1976;			0xbe3e8f6b
 1977;			0xdf0b0b6d
 1978;			0x8aafd71f
 1979;			0x9b599d1d
 1980;			0xe2a49932
 1981;			0x9cd29b6e
 1982;			0xeea9c921
 1983;			0xc7913344
 1984;			0xaaf9056d
 1985;			0xb0d94320
 1986;			0xab0c657d
 1987;			0x47c93d37
 1988;			0x8b8e1d38
 1989;			0x7efda540
 1990;			0x2a9e3b0b
 1991;			0x10feab61
 1992;			0xc4c58f1b
 1993;			0x7c17f330
 1994;			0x6de26d6d
 1995;			0x28e9274d
 1996;			0xfa01191f
 1997;			0x7b3d2115
 1998;			0x37f62918
 1999;			0x1abb356
 2000;			0x29ad2305
 2001;			0x691a2d77
 2002;			0x8d05f96b
 2003;			0x6282a128
 2004;			0xd536c360
 2005;			0x8613f356
 2006;			0x219cf74b
 2007;			0x2b5ff933
 2008;			0x4a18d2b
 2009;			0xbaf9a769
 2010;			0x151fb58
 2011;			0x7e7f3556
 2012;			0x8d0b371c
 2013;			0x3ac50f70
 2014;			0x1a687943
 2015;			0xed75a316
 2016;			0xdee99f3d
 2017;			0x1b577723
 2018;			0x2a62d12b
 2019;			0xb0403558
 2020;			0x79c5ad49
 2021;			0x547d514e
 2022;			0xd7e7a94d
 2023;			0xa9791f51
 2024;			0x74f39d4a
 2025;			0xbe502b38
 2026;			0xce5e6d3e
 2027;			0x207a5f5e
 2028;			0xf41e5d57
 2029;			0x87936708
 2030;			0xa8fd6134
 2031;			0x28126562
 2032;			0x3dc31d46
 2033;			0xbf093916
 2034;			0xae37d75d
 2035;			0xf3587b33
 2036;			0x284d4137
 2037;			0xd560f156
 2038;			0x38c6c90c
 2039;			0x4bfd8352
 2040;			0x4603035f
 2041;			0x27cf030b
 2042;			0x3cb2533e
 2043;			0x9e61394e
 2044;			0x3e68cd43
 2045;			0x4535bb49
 2046;			0xd7d8436f
 2047;			0x52ff7507
 2048;			0xb8285f7b
 2049;			0xb734a77f
 2050;			0xb4722b26
 2051;			0x3aaef55a
 2052;			0x83c3771e
 2053;			0x3b728d50
 2054;			0x76de091a
 2055;			0x1f85347
 2056;			0xde25014a
 2057;			0xf94ac553
 2058;			0x51377f20
 2059;			0xe398e743
 2060;			0xd6b74515
 2061;			0x655b3f4a
 2062;			0x70e7cf74
 2063;			0xa5fe6569
 2064;			0x53c7a14a
 2065;			0x95083d00
 2066;			0x77bea32d
 2067;			0xeb305b06
 2068;			0x4e6fab47
 2069;			0x96ad795c
 2070;			0xfa5fd915
 2071;			0x692d6315
 2072;			0x5765115b
 2073;			0xa35ff313
 2074;			0xd909ef34
 2075;			0xc83d2164
 2076;			0xbf36e543
 2077;			0x6cf2ef50
 2078;			0xf9269d52
 2079;			0xa532a12e
 2080;			0x683f2134
 2081;			0xe43a3d73
 2082;			0xdd42bb67
 2083;			0x8f4f2972
 2084;			0x5a37315d
 2085;			0xbe84f771
 2086;			0xac565f5f
 2087;			0xf02bd10c
 2088;			0xf821b58
 2089;			0xcb080b45
 2090;			0x20c0e747
 2091;			0x8038c521
 2092;			0xa8e1174
 2093;			0xcf180d26
 2094;			0x418e8d2e
 2095;			0x1de9a502
 2096;			0x701e911b
 2097;			0x896f1962
 2098;			0x7103b774
 2099;			0xd6031b64
 2100;			0xa943ff5f
 2101;			0x814b616b
 2102;			0x8fa7db58
 2103;			0x9cd02513
 2104;			0x7096ab27
 2105;			0x3956cd46
 2106;			0x4289317c
 2107;			0xef008b1f
 2108;			0xa2807f4a
 2109;			0x80bc527
 2110;			0xcc1ce35a
 2111;			0x88f0a168
 2112;			0x21720744
 2113;			0x7506fd40
 2114;			0x3693c10c
 2115;			0x9f79d33
 2116;			0xd1aaf150
 2117;			0x64a98755
 2118;			0x9453236c
 2119;			0x8c58e35d
 2120;			0xe7e66564
 2121;			0xdce95d1e
 2122;			0x98777739
 2123;			0xeae17122
 2124;			0x57c92950
 2125;			0xedeec9b7
 2126;			0x8ef1acaf
 2127;			0xc1b8f5a6
 2128;			0x8bcdd794
 2129;			0x725b43a5
 2130;			0xdee41b6
 2131;			0xd98e73b2
 2132;			0x4606b8b9
 2133;			0xa2882a91
 2134;			0x984e3c86
 2135;			0xed41c796
 2136;			0xfc0703b1
 2137;			0xaccc4684
 2138;			0x3e1777b8
 2139;			0x5c469c81
 2140;			0x9b27fc80
 2141;			0x417265aa
 2142;			0x9b99f3bf
 2143;			0x3a209bb6
 2144;			0xfe4b288b
 2145;			0x4143df87
 2146;			0x21b77da9
 2147;			0xa730ada7
 2148;			0xb0ade6b3
 2149;			0x2b9b6686
 2150;			0xc37c44b2
 2151;			0x2bf540ae
 2152;			0x43c52783
 2153;			0x1928c191
 2154;			0xd8e83bb9
 2155;			0xfa628a3
 2156;			0x23f080b1
 2157;			0xbb7242a6
 2158;			0x35e3398f
 2159;			0xb1351d83
 2160;			0xfed9ffb6
 2161;			0x46293a94
 2162;			0xb458609d
 2163;			0x38d1fc8c
 2164;			0x9774bd81
 2165;			0xbed496a6
 2166;			0x956b4ba2
 2167;			0xa0b928b1
 2168;			0x9d23cd1b
 2169;			0x24f2bf41
 2170;			0xb103ff74
 2171;			0xfdf4777b
 2172;			0xb79af322
 2173;			0x39aebb3d
 2174;			0x83a5617f
 2175;			0xf79ebf70
 2176;			0x6ea0b572
 2177;			0x8fb85173
 2178;			0x583faf3c
 2179;			0xef858133
 2180;			0xee387123
 2181;			0x7834876c
 2182;			0xa1b7831b
 2183;			0x823c3b4f
 2184;			0x632e8570
 2185;			0x8eb3d35e
 2186;			0x8c59db54
 2187;			0xa32f7121
 2188;			0xcec08358
 2189;			0x9af9794d
